id,Latitude,Longitude,Cd (mg/kg),Cr (mg/kg),Ni (mg/kg),Pb (mg/kg),Zn (mg/kg),Cu (mg/kg),Co (mg/kg),Predicted class
22292,-30.9233,29.0047,0.0,14.97,6.86,10.41,21.17,5.69,4.8,very low contamination
22293,-30.7989,29.1025,0.0,54.53,13.62,7.76,19.91,10.53,10.43,very low contamination
22294,-30.5911,28.7919,0.0,75.48,19.32,14.98,34.66,22.77,32.7,moderate contamination
22295,-23.2984,28.9758,0.451,78.84,39.84,13.72,19.4,37.02,19.0,moderate contamination
22296,-32.3639,28.4917,0.0,16.78,5.86,14.88,33.26,5.33,5.01,very low contamination
22297,-32.3386,28.2911,0.0,136.6,34.16,10.47,73.11,22.89,25.06,moderate contamination
22298,-32.2908,28.555,0.0,228.36,51.47,8.24,63.95,64.79,55.36,moderate contamination
22299,-32.4392,28.6853,0.0,117.78,20.33,6.77,32.08,26.44,15.28,moderate contamination
22300,-32.1142,28.9894,0.0,277.72,55.35,15.23,55.21,79.55,37.17,moderate contamination
22301,-32.0506,28.9775,0.0,27.33,10.88,15.73,36.76,9.41,9.02,very low contamination
22302,-32.17,28.8939,0.0,15.87,10.76,21.13,33.04,11.53,7.18,very low contamination
22303,-32.0158,28.5603,0.0,9.09,7.4,4.12,11.02,0.29,0.93,very low contamination
22304,-23.2189,29.9879,0.0,363.72,202.75,35.91,46.6,79.16,88.4,high contamination
22305,-31.1992,28.4956,0.0,39.41,13.72,12.72,29.54,14.51,7.51,very low contamination
22306,-31.0289,28.7192,0.0,107.33,35.88,13.25,43.47,42.39,16.57,moderate contamination
22307,-23.2984,28.9758,0.0,59.13,25.68,8.5,32.0,19.0,12.73,very low contamination
22308,-30.7631,28.3644,0.0,34.92,11.1,8.2,29.09,12.01,10.0,very low contamination
22309,-23.8621,29.7104,0.0,148.95,47.55,9.9,35.7,22.23,9.99,moderate contamination
22310,-22.9201,30.2433,0.0,72.34,15.12,4.44,20.4,12.58,7.37,low contamination
22311,-31.242,28.9967,0.0,51.69,18.43,29.32,37.05,13.5,16.15,very low contamination
22312,-32.5078,28.4558,0.0,48.45,25.79,15.13,37.28,55.21,36.89,low contamination
22313,-22.6221,30.6754,0.0,46.16,31.47,5.15,39.7,40.24,13.46,very low contamination
22314,-32.5853,28.4472,0.0,20.81,3.66,6.0,13.27,1.76,2.99,very low contamination
22315,-22.8453,30.5729,0.0,24.1,71.66,6.18,39.78,116.33,27.69,low contamination
22316,-22.7853,30.9107,0.0,54.99,20.31,3.01,27.7,17.53,5.71,very low contamination
22317,-32.4828,28.1444,0.0,27.83,7.52,14.91,19.58,7.13,10.25,very low contamination
22318,-22.4492,30.5068,0.0,69.81,48.5,6.02,48.2,29.44,14.81,low contamination
22319,-22.9201,30.2433,0.0,128.81,106.48,13.0,46.2,149.84,65.9,moderate contamination
22320,-22.6221,30.6754,0.0,57.67,7.92,1.92,9.3,9.61,2.76,very low contamination
22321,-23.1903,30.8277,0.0,43.34,21.92,1.99,11.67,5.59,2.62,very low contamination
22322,-32.1547,28.4558,0.0,32.32,8.4,22.57,71.26,7.66,7.3,very low contamination
22323,-23.4068,30.4187,0.0,83.7,67.58,5.38,54.8,94.74,38.06,moderate contamination
22324,-32.2375,28.05,0.0,26.1,4.78,7.27,23.45,5.97,3.75,very low contamination
22325,-32.0442,28.0464,0.0,14.69,3.74,6.88,99.4,3.51,3.06,very low contamination
22326,-23.1903,30.8277,0.0,409.92,268.87,8.99,45.2,41.24,33.35,high contamination
22327,-31.4631,28.5314,0.0,71.63,27.3,16.48,48.16,20.12,9.56,low contamination
22328,-31.277,28.5469,0.0,52.18,15.54,9.53,21.04,14.6,14.16,very low contamination
22329,-23.5781,30.3501,0.857,21.62,8.21,9.6,30.4,8.86,5.69,very low contamination
22330,-23.5269,30.4466,0.0,140.01,92.65,9.45,30.7,55.78,26.31,moderate contamination
22331,-31.4942,28.0736,0.0,73.15,10.55,11.1,22.03,11.94,15.69,low contamination
22332,-31.51,28.4117,0.0,71.75,22.69,10.69,34.77,15.34,9.98,low contamination
22333,-29.7858,29.4992,0.0,38.73,17.32,21.98,45.55,18.98,13.81,very low contamination
22334,-29.8495,29.7664,0.0,72.09,30.85,24.2,40.65,29.39,15.11,low contamination
22335,-29.6153,29.7772,0.0,101.73,28.2,22.05,34.32,39.81,33.29,moderate contamination
22336,-29.0425,29.7908,0.0,34.66,7.27,15.28,18.25,10.21,4.62,very low contamination
